Estable,Prov_ubi,Cant_ubi,Parr_ubi,Clase,Tipo,Entidad,Sector,Farm,,,idCanton,idParroquia,,,idCanton,idParroquia
135,1,113,11351,25,4,7,1,0,,,13,51,,13,13,51
136,1,101,10150,2,1,12,3,1,,,01,50,,01,1,50
137,1,101,10150,25,4,7,1,0,,,01,50,,01,1,50
139,1,101,10150,26,4,7,1,0,,,01,50,,01,1,50
141,1,101,10150,25,4,7,1,0,,,01,50,,01,1,50
142,1,101,10150,25,4,7,1,0,,,01,50,,01,1,50
143,1,101,10150,25,4,17,3,1,,,01,50,,01,1,50
145,1,101,10150,25,4,7,1,0,,,01,50,,01,1,50
147,1,101,10150,25,4,7,1,0,,,01,50,,01,1,50
148,1,101,10150,25,4,17,3,0,,,01,50,,01,1,50
150,1,101,10150,25,4,7,1,0,,,01,50,,01,1,50
157,1,101,10150,31,4,18,2,1,,,01,50,,01,1,50
162,1,101,10150,22,4,6,1,1,,,01,50,,01,1,50
167,1,101,10150,25,4,7,1,0,,,01,50,,01,1,50
168,1,101,10150,25,4,7,1,0,,,01,50,,01,1,50
169,1,101,10150,25,4,7,1,0,,,01,50,,01,1,50
172,2,201,20150,2,1,1,1,1,,,01,50,,01,1,50
173,2,205,20550,1,5,1,1,1,,,05,50,,05,5,50
174,2,202,20250,1,5,1,1,1,,,02,50,,02,2,50
175,2,201,20150,12,3,18,2,0,,,01,50,,01,1,50
176,2,201,20150,22,4,1,1,1,,,01,50,,01,1,50
177,2,204,20450,22,4,1,1,1,,,04,50,,04,4,50
178,2,201,20151,21,4,1,1,0,,,01,51,,01,1,51
179,2,201,20150,21,4,1,1,0,,,01,50,,01,1,50
180,2,207,20750,21,4,1,1,0,,,07,50,,07,7,50
181,2,201,20156,21,4,1,1,0,,,01,56,,01,1,56
182,2,201,20159,21,4,1,1,0,,,01,59,,01,1,59
183,2,201,20155,21,4,1,1,0,,,01,55,,01,1,55
184,2,201,20157,21,4,1,1,0,,,01,57,,01,1,57
185,2,202,20251,21,4,1,1,0,,,02,51,,02,2,51
186,2,203,20350,22,4,1,1,0,,,03,50,,03,3,50
187,2,206,20650,22,4,1,1,0,,,06,50,,06,6,50
188,2,203,20353,21,4,1,1,0,,,03,53,,03,3,53
189,2,203,20351,21,4,1,1,0,,,03,51,,03,3,51
190,2,203,20355,21,4,1,1,0,,,03,55,,03,3,55
191,2,205,20551,21,4,1,1,0,,,05,51,,05,5,51
192,2,205,20555,21,4,1,1,0,,,05,55,,05,5,55
193,2,205,20554,21,4,1,1,0,,,05,54,,05,5,54
194,2,205,20556,21,4,1,1,0,,,05,56,,05,5,56
195,2,205,20552,21,4,1,1,0,,,05,52,,05,5,52
196,2,201,20158,21,4,1,1,0,,,01,58,,01,1,58
197,2,207,20750,20,4,1,1,0,,,07,50,,07,7,50
198,2,204,20450,21,4,1,1,0,,,04,50,,04,4,50
199,2,201,20160,21,4,1,1,0,,,01,60,,01,1,60
200,2,202,20251,21,4,1,1,0,,,02,51,,02,2,51
201,2,202,20250,21,4,1,1,0,,,02,50,,02,2,50
202,2,202,20250,21,4,1,1,1,,,02,50,,02,2,50
203,2,204,20450,21,4,1,1,0,,,04,50,,04,4,50
204,2,201,20150,21,4,1,1,0,,,01,50,,01,1,50
206,2,201,20150,21,4,1,1,0,,,01,50,,01,1,50
207,2,204,20450,21,4,1,1,0,,,04,50,,04,4,50
208,2,205,20550,21,4,1,1,0,,,05,50,,05,5,50
209,2,202,20250,21,4,1,1,0,,,02,50,,02,2,50
210,2,201,20153,21,4,1,1,0,,,01,53,,01,1,53
211,2,201,20150,2,1,6,1,1,,,01,50,,01,1,50
213,2,201,20150,22,4,2,1,0,,,01,50,,01,1,50
215,2,205,20550,23,4,6,1,1,,,05,50,,05,5,50
216,2,201,20150,25,4,10,1,0,,,01,50,,01,1,50
217,3,301,30150,2,1,1,1,1,,,01,50,,01,1,50
