222,2,Aguarico,22
223,3,La Joya de los Sachas,22
224,4,Loreto,22
225,1,Santo Domingo,23
226,2,La Concordia,23
227,1,Santa Elena,24
228,2,La Libertad,24
229,3,Salinas,24
230,0,Exterior,88
231,1,Las Golondrinas,90
232,3,Manga del Cura,90
233,4,El Piedrero,90
