30360,Tambo,303
30361,Zhud,303
30362,Ventura,303
30363,Ducur,303
30399,Sin Especificar,303
30450,La Troncal,304
30451,Manuel J. Calle,304
30452,Pancho Negro,304
30499,Sin Especificar,304
30550,El Tambo Cabecera Cantonal,305
30599,Sin Especificar,305
30650,Déleg Cabecera Cantonal,306
30651,Solano,306
30699,Sin Especificar,306
30750,Suscal Cabecera Cantonal,307
30799,Sin Especificar,307
40101,González Suárez,401
40102,Tulcán,401
40150,Tulcán Cabecera Cantonal y Capital Provincial,401
40151,El Carmelo (El Pun),401
40152,Huaca,401
40153,Julio Andrade (Orejuela),401
40154,Maldonado,401
40155,Pioter,401
40156,Tobar Donoso (La Bocana de Camumbí),401
40157,Tufiño,401
40158,Urbina (Taya),401
40159,El Chical,401
40160,Mariscal Sucre,401
40161,Santa Martha de Cuba,401
40199,Sin Especificar,401
40250,Bolívar Cabecera Cantonal,402
40251,García Moreno,402
40252,Los Andes,402
40253,Monte Olivo,402
40254,San Vicente de Pusir,402
40255,San Rafael,402
40299,Sin Especificar,402
40301,El Ángel,403
40302,27 de Septiembre,403
40350,El Ángel Cabecera Cantonal,403
40351,El Goaltal,403
40352,La Libertad (Alizo),403
40353,San Isidro,403
40399,Sin Especificar,403
40450,Mira (Chontahuasi) Cabecera Cantonal,404
40451,Concepción,404
40452,Jijón y Caamaño (Cab. en Río Blanco),404
40453,Juan Montalvo (San Ignacio de Quil),404
40499,Sin Especificar,404
40501,González Suárez,405
40502,San José,405
40550,San Gabriel Cabecera Cantonal,405
40551,Cristóbal Colón,405
40552,Chitán de Navarrete,405
40553,Fernández Salvador,405
40554,La Paz,405
40555,Piartal,405
40599,Sin Especificar,405
40650,Huaca Cabecera Cantonal,406
40651,Mariscal Sucre,406
40699,Sin Especificar,406
50101,Eloy Alfaro (San Felipe),501
50102,Ignacio Flores (Parque Flores),501
50103,Juan Montalvo (San Sebastián),501
50104,La Matriz,501
50105,San Buenaventura,501
50150,Latacunga Cabecera Cantonal y Capital Provincial,501
50151,Alaques (Aláquez),501
50152,Belisario Quevedo (Guanailín),501
50153,Guaitacama (Guaytacama),501
50154,Joseguango Bajo,501
50155,Las Pampas,501
50156,Mulaló,501
50157,11 de Noviembre (Ilinchisi),501
50158,Poaló,501
50159,San Juan de Pastocalle,501
50160,Sigchos,501
50161,Tanicuchí,501
50162,Toacaso,501
50163,Palo Quemado,501
50199,Sin Especificar,501
50201,El Carmen,502
50202,La Maná,502
50203,El Triunfo,502
50250,La Maná Cabecera Cantonal,502
50251,Guasaganda (Cab. en Guasaganda Centro),502
50252,Pucayacu,502
50299,Sin Especificar,502
50350,El Corazón,503
50351,Moraspungo,503
50352,Pinllopata,503
50353,Ramón Campaña,503
50399,Sin Especificar,503
50450,Pujilí Cabecera Cantonal,504
50451,Angamarca,504
